acupoint_iri,acupoint_label,special_point_iri,special_point,special_point_category_iri,special_point_category
http://www.acupunctureresearch.org/tara/ontology/TARA_2260472,ST 45,http://www.acupunctureresearch.org/tara/ontology/TARA_1787498,Shu Point,http://www.acupunctureresearch.org/tara/ontology/TARA_4943316,Special Point on the Limbs
http://www.acupunctureresearch.org/tara/ontology/TARA_9531666,ST 40,http://www.acupunctureresearch.org/tara/ontology/TARA_6993030,Luo-Connecting Point,http://www.acupunctureresearch.org/tara/ontology/TARA_4943316,Special Point on the Limbs
http://www.acupunctureresearch.org/tara/ontology/TARA_6019290,ST 41,http://www.acupunctureresearch.org/tara/ontology/TARA_7315457,Jing-River Point,http://www.acupunctureresearch.org/tara/ontology/TARA_1787498,Shu Point
http://www.acupunctureresearch.org/tara/ontology/TARA_5717468,ST 25,http://www.acupunctureresearch.org/tara/ontology/TARA_1468221,Front-Mu Point of the Large Intestine,http://www.acupunctureresearch.org/tara/ontology/TARA_2614885,Special Point on the Head and Trunk
http://www.acupunctureresearch.org/tara/ontology/TARA_8440155,ST 44,http://www.acupunctureresearch.org/tara/ontology/TARA_9857829,Ying-Spring Point,http://www.acupunctureresearch.org/tara/ontology/TARA_1787498,Shu Point
http://www.acupunctureresearch.org/tara/ontology/TARA_8440155,ST 44,http://www.acupunctureresearch.org/tara/ontology/TARA_9857829,Ying-Spring Point,http://www.acupunctureresearch.org/tara/ontology/TARA_4943316,Special Point on the Limbs
http://www.acupunctureresearch.org/tara/ontology/TARA_5918799,ST 37,http://www.acupunctureresearch.org/tara/ontology/TARA_1717280,The Lower He-Sea Point of the Large Intestine,http://www.acupunctureresearch.org/tara/ontology/TARA_4830205,Lower He-Sea Point
http://www.acupunctureresearch.org/tara/ontology/TARA_5918799,ST 37,http://www.acupunctureresearch.org/tara/ontology/TARA_1717280,The Lower He-Sea Point of the Large Intestine,http://www.acupunctureresearch.org/tara/ontology/TARA_4943316,Special Point on the Limbs
http://www.acupunctureresearch.org/tara/ontology/TARA_5918799,ST 37,http://www.acupunctureresearch.org/tara/ontology/TARA_1717280,The Lower He-Sea Point of the Large Intestine,http://www.acupunctureresearch.org/tara/ontology/TARA_6594221,He-Sea Point
http://www.acupunctureresearch.org/tara/ontology/TARA_5717468,ST 25,http://www.acupunctureresearch.org/tara/ontology/TARA_1468221,Front-Mu Point of the Large Intestine,http://www.acupunctureresearch.org/tara/ontology/TARA_8746709,Front-Mu Point
http://www.acupunctureresearch.org/tara/ontology/TARA_5918799,ST 37,http://www.acupunctureresearch.org/tara/ontology/TARA_1717280,The Lower He-Sea Point of the Large Intestine,http://www.acupunctureresearch.org/tara/ontology/TARA_1787498,Shu Point
http://www.acupunctureresearch.org/tara/ontology/TARA_6728804,ST 39,http://www.acupunctureresearch.org/tara/ontology/TARA_6594221,He-Sea Point,http://www.acupunctureresearch.org/tara/ontology/TARA_4943316,Special Point on the Limbs
http://www.acupunctureresearch.org/tara/ontology/TARA_2260472,ST 45,http://www.acupunctureresearch.org/tara/ontology/TARA_2954517,Jing-Well Point,http://www.acupunctureresearch.org/tara/ontology/TARA_4943316,Special Point on the Limbs
http://www.acupunctureresearch.org/tara/ontology/TARA_6463344,ST 36,http://www.acupunctureresearch.org/tara/ontology/TARA_6594221,He-Sea Point,http://www.acupunctureresearch.org/tara/ontology/TARA_4943316,Special Point on the Limbs
http://www.acupunctureresearch.org/tara/ontology/TARA_2260472,ST 45,http://www.acupunctureresearch.org/tara/ontology/TARA_2954517,Jing-Well Point,http://www.acupunctureresearch.org/tara/ontology/TARA_1787498,Shu Point
http://www.acupunctureresearch.org/tara/ontology/TARA_7178938,ST 42,http://www.acupunctureresearch.org/tara/ontology/TARA_1840369,Yuan-Primary Point,http://www.acupunctureresearch.org/tara/ontology/TARA_4943316,Special Point on the Limbs
